size,Threads,time
1000,2,00:00:02.1984651
1000,2,00:00:02.2359931
1000,2,00:00:02.2243165
1000,2,00:00:02.1717386
1000,2,00:00:02.1837702
1000,2,00:00:02.2206849
1000,2,00:00:02.1797701
1000,2,00:00:02.1763630
1000,2,00:00:02.2218282
1000,2,00:00:02.1684098
1000,4,00:00:01.1524496
1000,4,00:00:01.1390133
1000,4,00:00:01.1421439
1000,4,00:00:01.1546444
1000,4,00:00:01.1544602
1000,4,00:00:01.1428436
1000,4,00:00:01.1572797
1000,4,00:00:01.1784996
1000,4,00:00:01.1444611
1000,4,00:00:01.1359659
1000,6,00:00:00.8500640
1000,6,00:00:00.8207932
1000,6,00:00:00.8715676
1000,6,00:00:00.8203508
1000,6,00:00:00.8614526
1000,6,00:00:00.8252421
1000,6,00:00:00.8348739
1000,6,00:00:00.8334966
1000,6,00:00:00.8231368
1000,6,00:00:00.8208408
1000,8,00:00:00.8223064
1000,8,00:00:00.8330111
1000,8,00:00:00.8308062
1000,8,00:00:00.8245983
1000,8,00:00:00.8563210
1000,8,00:00:00.8324706
1000,8,00:00:00.8247323
1000,8,00:00:00.8392499
1000,8,00:00:00.8310423
1000,8,00:00:00.8351447
1000,10,00:00:00.8234559
1000,10,00:00:00.8394621
1000,10,00:00:00.8055476
1000,10,00:00:00.8027549
1000,10,00:00:00.8153701
1000,10,00:00:00.8698274
1000,10,00:00:00.8056781
1000,10,00:00:00.8102259
1000,10,00:00:00.8034773
1000,10,00:00:00.8276549
1000,12,00:00:00.8765579
1000,12,00:00:00.7894801
1000,12,00:00:00.7792582
1000,12,00:00:00.7779566
1000,12,00:00:00.8116040
1000,12,00:00:00.7955681
1000,12,00:00:00.7758735
1000,12,00:00:00.8288590
1000,12,00:00:00.7790694
1000,12,00:00:00.8133765
