size,Threads,time
2000,2,00:00:25.9619041
2000,2,00:00:25.9355046
2000,2,00:00:25.9433460
2000,2,00:00:25.9702226
2000,2,00:00:25.9818045
2000,2,00:00:25.8733577
2000,2,00:00:25.9562255
2000,2,00:00:25.9669290
2000,2,00:00:25.9540406
2000,2,00:00:25.8842058
2000,4,00:00:25.8566636
2000,4,00:00:25.9016031
2000,4,00:00:25.9120100
2000,4,00:00:25.8844700
2000,4,00:00:25.9620075
2000,4,00:00:25.9017023
2000,4,00:00:26.0327202
2000,4,00:00:25.9722530
2000,4,00:00:25.8664266
2000,4,00:00:25.8985847
2000,6,00:00:25.9066468
2000,6,00:00:25.8675017
2000,6,00:00:25.8780635
2000,6,00:00:25.8928601
2000,6,00:00:25.9150479
2000,6,00:00:25.9182657
2000,6,00:00:25.8862531
2000,6,00:00:25.9091583
2000,6,00:00:25.9675151
2000,6,00:00:25.9288572
2000,8,00:00:25.9545831
2000,8,00:00:25.9407276
2000,8,00:00:25.9562994
2000,8,00:00:25.9189490
2000,8,00:00:25.9183841
2000,8,00:00:25.9733589
2000,8,00:00:25.9671610
2000,8,00:00:25.9254970
2000,8,00:00:25.9327826
2000,8,00:00:26.0038758
2000,10,00:00:26.0132377
2000,10,00:00:25.9850765
2000,10,00:00:25.9919336
2000,10,00:00:25.9710995
2000,10,00:00:26.0534070
2000,10,00:00:25.9441112
2000,10,00:00:25.9805603
2000,10,00:00:25.9893139
2000,10,00:00:26.0019278
2000,10,00:00:26.0307295
2000,12,00:00:26.0058573
2000,12,00:00:26.0463651
2000,12,00:00:25.9476208
2000,12,00:00:25.9852117
2000,12,00:00:26.0509339
2000,12,00:00:25.9406428
2000,12,00:00:25.9959732
2000,12,00:00:25.9224293
2000,12,00:00:25.9459446
2000,12,00:00:25.9632868
