size,Threads,time
2000,2,00:00:17.6310752
2000,2,00:00:17.6800423
2000,2,00:00:17.7549372
2000,2,00:00:17.5815172
2000,2,00:00:17.6040207
2000,2,00:00:17.7544219
2000,2,00:00:17.8160672
2000,2,00:00:17.7424084
2000,2,00:00:17.4961824
2000,2,00:00:17.4372139
2000,4,00:00:09.2329450
2000,4,00:00:09.2457145
2000,4,00:00:09.5441904
2000,4,00:00:09.2215431
2000,4,00:00:09.5220438
2000,4,00:00:09.2106735
2000,4,00:00:09.1917474
2000,4,00:00:09.1859409
2000,4,00:00:09.2903301
2000,4,00:00:09.3143662
2000,6,00:00:06.6107875
2000,6,00:00:06.7315408
2000,6,00:00:06.6930770
2000,6,00:00:06.6432809
2000,6,00:00:06.8964669
2000,6,00:00:06.7644289
2000,6,00:00:06.7289745
2000,6,00:00:06.6427508
2000,6,00:00:06.7319078
2000,6,00:00:06.8119385
2000,8,00:00:06.5837994
2000,8,00:00:06.5217596
2000,8,00:00:06.8577026
2000,8,00:00:06.3445690
2000,8,00:00:06.9455334
2000,8,00:00:06.5732972
2000,8,00:00:06.5940693
2000,8,00:00:06.6479258
2000,8,00:00:06.7642484
2000,8,00:00:06.5544915
2000,10,00:00:06.7565176
2000,10,00:00:06.6949882
2000,10,00:00:06.3198548
2000,10,00:00:06.6732994
2000,10,00:00:06.0943728
2000,10,00:00:06.2478893
2000,10,00:00:06.6361299
2000,10,00:00:06.1823285
2000,10,00:00:06.0730957
2000,10,00:00:06.5811582
2000,12,00:00:06.5085247
2000,12,00:00:06.0792222
2000,12,00:00:06.1921257
2000,12,00:00:06.3979631
2000,12,00:00:06.2596961
2000,12,00:00:06.3341420
2000,12,00:00:06.5724057
2000,12,00:00:05.8962904
2000,12,00:00:06.0166841
2000,12,00:00:06.4488281
