size,Threads,time
1000,2,00:00:03.2425182
1000,2,00:00:03.2461703
1000,2,00:00:03.2205458
1000,2,00:00:03.2178970
1000,2,00:00:03.2236962
1000,2,00:00:03.2186931
1000,2,00:00:03.2220170
1000,2,00:00:03.2215760
1000,2,00:00:03.2214295
1000,2,00:00:03.2159359
1000,4,00:00:03.2155161
1000,4,00:00:03.2218608
1000,4,00:00:03.2186670
1000,4,00:00:03.2165933
1000,4,00:00:03.2167018
1000,4,00:00:03.2190554
1000,4,00:00:03.2211105
1000,4,00:00:03.2305542
1000,4,00:00:03.2176444
1000,4,00:00:03.2252670
1000,6,00:00:03.2281870
1000,6,00:00:03.2233735
1000,6,00:00:03.2321582
1000,6,00:00:03.2216317
1000,6,00:00:03.2213282
1000,6,00:00:03.2193694
1000,6,00:00:03.2096894
1000,6,00:00:03.2209406
1000,6,00:00:03.2148889
1000,6,00:00:03.2229021
1000,8,00:00:03.2249645
1000,8,00:00:03.2217225
1000,8,00:00:03.2129820
1000,8,00:00:03.2147647
1000,8,00:00:03.2105573
1000,8,00:00:03.2204217
1000,8,00:00:03.2153037
1000,8,00:00:03.2092688
1000,8,00:00:03.2182431
1000,8,00:00:03.2218794
1000,10,00:00:03.2226696
1000,10,00:00:03.2222471
1000,10,00:00:03.2199915
1000,10,00:00:03.2171775
1000,10,00:00:03.2099361
1000,10,00:00:03.2181263
1000,10,00:00:03.2228368
1000,10,00:00:03.2346796
1000,10,00:00:03.2250437
1000,10,00:00:03.2189855
1000,12,00:00:03.2163439
1000,12,00:00:03.2317541
1000,12,00:00:03.2199202
1000,12,00:00:03.2233475
1000,12,00:00:03.2157658
1000,12,00:00:03.2223389
1000,12,00:00:03.2218855
1000,12,00:00:03.2602888
1000,12,00:00:03.2268948
1000,12,00:00:03.2262575
